stock#,carline,description,fa,colour,loc,dest loc,list price,age,age,deal,status,open ro/po
"320469511","I30","PDE.V6 I30 N HATCH PREM S.ROOF 2.0P DCT","","ABYSS BLACK","DAHY","","53428.04","","129","","DEMO","N"
"320440260A","PALISADE","LX2.V5 PALISADE 8S CAL BLK 2.2D AT AWD","","ABYSS BLACK","DAHY","","74572.81","","128","DH17817","DEAL PEND","N"
"320469650","I30","PDE.V6 I30 N HATCH PREM S.ROOF 2.0P DCT","","ABYSS BLACK","DAHY","","53216.69","","121","","IN-STOCK","N"
"320469679","I30","PDE.V6 I30 N HATCH PREM S.ROOF 2.0P DCT","","SHADOW GREY","DAHY","","52649.60","","121","","IN-STOCK","Y"
"320474411","TUCSON HEV","NX4.V4 TUCSON PRM N LINE 1.6T HEV AWD","","PHANTOM BLACK","DAHY","","55467.78","","114","","IN-STOCK","Y"
"320451481","I20","BC3.V2 I20 N TTR 1.6P MAN","","PERFORMANCE BLUE + BLACK ROOF","DAHY","","35627.27","","112","","DEMO","N"
"320471725","I30","PDE.V6 I30 N HATCH PREM S.ROOF 2.0P DCT","","ABYSS BLACK","DAHY","","53216.69","","105","","IN-STOCK","N"
"320466631","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","26036.96","","105","DH17611","DEAL PEND","Y"
"320466632","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","26033.22","","105","DH17620","DEAL PEND","Y"
"320466662","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","26033.22","","105","DH17615","DEAL PEND","Y"
"320466667","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","26033.22","","105","DH17614","DEAL PEND","Y"
"320466669","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","26033.22","","105","DH17613","DEAL PEND","Y"
"320466670","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","26031.35","","105","DH17612","DEAL PEND","Y"
"320473404","VENUE","QX.V5 VENUE ELITE BLACK TTR 1.6P AUTO","","ABYSS BLACK + CHALK WHITE TTR","DAHY","","28806.18","","104","DH17855","DEAL PEND","Y"
"320474240","KONA","SX2.V3 KONA PRM SRF 2.0P CVT","","ULTIMATE RED","DAHY","","39771.49","","100","","STOCK SWAP","N"
"320473878","TUCSON","NX4.V4 TUCSON 2.0P AT 2WD","","AMAZON GREY","DAHY","","36789.80","","100","","DEMO","N"
"320471601","PALISADE","LX3.V1 PALISADE 8S CAL 2.5T HEV AT AWD","","CREAMY WHITE","DAHY","","80449.88","","99","","IN-STOCK","N"
"320474109","TUCSON HEV","NX4.V4 TUCSON ELITE 1.6T HEV 2WD","","AMAZON GRAY","DAHY","","44795.85","","98","DH17848","DEAL PEND","N"
"320475943","TUCSON HEV","NX4.V4 TUCSON 1.6T HEV 2WD","","ECOTRONIC GREY","DAHY","","40255.00","","97","","DEMO","N"
"220605093","I20","BC3.V2 I20 N TTR 1.6P MAN","","ATLAS WHITE + BLACK ROOF","DAHY","","35376.87","","92","","IN-STOCK","Y"
"320477820","KONA EV","SX2.V3 KONA EV PRM EXT RANGE","","ATLAS WHITE","DAHY","","54545.45","","92","","IN-STOCK","N"
"320477738","KONA EV","SX2.V3 KONA EV PRM EXT RANGE","","ECOTRONIC GREY","DAHY","","56240.53","","92","","DEMO","N"
"320477908","KONA EV","SX2.V3 KONA EV EXT RANGE","","ATLAS WHITE","DAHY","","46029.55","","91","","DEMO","N"
"320476379","INSTER","AX.V1 INSTER 2WD 49 KWH","","ATLAS WHITE","DAHY","","39011.36","","90","","IN-STOCK","Y"
"320477838","KONA EV","SX2.V3 KONA EV PRM EXT RANGE","","MIRAGE GREEN","DAHY","","54545.45","","90","","IN-STOCK","N"
"320478853","TUCSON HEV","NX4.V4 TUCSON 1.6T HEV 2WD","","PHANTOM BLACK","DAHY","","39636.37","","87","","IN-STOCK","N"
"320468112","ELEXIO","OE1.V1 ELEXIO ELITE 2WD 88KWH","","MEDIUM GREY","DAHY","","57036.37","","86","","IN-STOCK","N"
"320477755","KONA EV","SX2.V3 KONA EV PRM EXT RANGE","","ECOTRONIC GREY","DAHY","","55086.36","","85","","IN-STOCK","N"
"320478578","TUCSON","NX4.V4 TUCSON ELITE 2.0P AT 2WD","","ECOTRONIC GREY","DAHY","","40772.73","","85","","IN-STOCK","N"
"320475070","KONA HEV","SX2.V3 KONA HEV PRM SRF 1.6P DCT","","MIRAGE GREEN","DAHY","","41772.73","","84","","IN-STOCK","N"
"320473484","PALISADE","LX3.V1 PALISADE 8S CAL 2.5T HEV AT AWD","","GALAXY MAROON","DAHY","","80974.35","","84","","IN-STOCK","N"
"320478597","TUCSON","NX4.V4 TUCSON ELITE 2.0P AT 2WD","","WHITE CREAM","DAHY","","40506.46","","84","","IN-STOCK","N"
"320476809","TUCSON HEV","NX4.V4 TUCSON PRM 1.6T HEV AWD","","SHIMMERING SILVER","DAHY","","53727.27","","84","","IN-STOCK","N"
"320475069","KONA HEV","SX2.V3 KONA HEV PRM SRF 1.6P DCT","","MIRAGE GREEN","DAHY","","42339.01","","84","","DEMO","N"
"320475609","STARIA","US4.V4 STARIA LOAD HEV 2S 1.6T LBACK AT","","CREAMY WHITE","DAHY","","48627.27","","81","","IN-STOCK","N"
"320475717","STARIA","US4.V4 STARIA LOAD 2S 2.2D LIFTBACK AUTO","","CREAMY WHITE","DAHY","","45445.45","","81","","IN-STOCK","N"
"320477035","TUCSON HEV","NX4.V4 TUCSON PRM 1.6T HEV AWD","","AMAZON GRAY","DAHY","","54344.03","","81","","IN-STOCK","N"
"320477036","TUCSON HEV","NX4.V4 TUCSON PRM 1.6T HEV AWD","","AMAZON GRAY","DAHY","","53727.27","","81","","IN-STOCK","N"
"320476870","TUCSON HEV","NX4.V4 TUCSON PRM N LINE 1.6T HEV AWD","","WHITE CREAM","DAHY","","54409.09","","81","","IN-STOCK","N"
"320476871","TUCSON HEV","NX4.V4 TUCSON PRM N LINE 1.6T HEV AWD","","WHITE CREAM","DAHY","","56145.62","","81","","IN-STOCK","N"
