stock no,age,year,carline,description,reg no,odometer,colour,list price,loc,dest loc,status,open ro/po
"S5025558","15","13","I30","GD ACTIVE HATCHBACK 5DR SA 6SP 1.6DT","1AQ8ZJ","209969","SILVER OR CHROME","0.00","DHYU","","WHOLESALE","N"
"S5025589","14","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4FG","9782","ATLAS WHITE/CLOTH","22990.00","DANDUSED","","IN-STOCK","N"
"S5025590","14","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CW","21425","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","IN-STOCK","N"
"S5025592","14","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4FJ","21834","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","IN-STOCK","N"
"S5025586","14","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4FK","14663","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5025587","14","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4FT","23637","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","IN-STOCK","Y"
"S5025569","14","24","TUCSON","NX4.V2 MY24 HIGHLANDER N LINE WAG SA 8SP 2.0D","CVN596","80400","GREY","31990.00","S52USED","","DEAL PEND","Y"
"S5025588","14","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2IQ","18532","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","DEAL PEND","N"
"S5025591","14","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CV","23049","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","DEAL PEND","Y"
"S5025585","14","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AZ2SR","20528","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","DEAL PEND","N"
"S5025596","13","23","SANTA FE","TM.V4 MY23 HIGHLANDER WAG DUAL 8SP 2.2DT","2FT8ZL","45398","GREY/BLACK","42990.00","DANDUSED","","IN-STOCK","N"
"S5025606","13","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2HG","25825","WHITE/CLOTH","21990.00","CRKU","","LOANER","N"
"S5025605","13","11","I30","FD MY11 SX HATCHBACK 5DR AUTO 4SP 1.6I","ZTW973","178443","WHITE/BLACK","0.00","CRKU","","WHOLESALE","N"
"S5025627","10","16","VELOSTER","FS4 SERIES II COUPE 4DR D-CT 6SP 1.6I","1IK8TC","64149","WHITE/CLOTH","18490.00","FRUSED","","IN-STOCK","Y"
"S5025615","10","13","I30","GD ACTIVE HATCHBACK 5DR SA 6SP 1.8I","ZMR844","197960","WHITE/CLOTH","0.00","DANDUSED","","WHOLESALE","N"
"S5025640","9","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AZ2TF","26778","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","IN-STOCK","N"
"S5025641","9","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4EZ","21783","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","IN-STOCK","N"
"S5025642","9","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4EV","19114","ATLAS WHITE/CLOTH","21990.00","DANDUSED","","IN-STOCK","N"
"S5025643","9","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AZ2SH","23973","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","IN-STOCK","N"
"S5025644","9","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4EX","21111","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","IN-STOCK","N"
"S5025645","9","24","VENUE","QX.V5 MY25 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4EY","22200","ATLAS WHITE/CLOTH","20990.00","DANDUSED","","IN-STOCK","N"
"S5025637","9","12","SANTA FE","DM MY13 ACTIVE WAG 7ST 5DR SA 6SP 632KG 2.2DT","1HI9HS","226076","WHITE","0.00","S52USED","","WHOLESALE","N"
"S5025652","8","07","TIBURON","GK MY07 V6 COUPE 2DR SA 4SP 2.7I","UUT992","241000","BLACK","0.00","CRKU","","WHOLESALE","N"
"S5025653","8","18","TUCSON","TL3 MY19 ACTIVE X WAGON 5DR AUTO 6SP 2WD 2.0I","1PX6RN","181631","WHITE","0.00","CRKU","","WHOLESALE","N"
"S5025667","7","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2IO","18080","WHITE/CLOTH","23990.00","CRKU","","IN-STOCK","N"
"S5025668","7","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4FI","17700","WHITE/CLOTH","23990.00","CRKU","","IN-STOCK","N"
"S5025669","7","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2KS","14450","WHITE/CLOTH","23990.00","CRKU","","IN-STOCK","N"
"S5025673","7","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4FM","20585","WHITE","20990.00","DAKI","","IN-STOCK","N"
"S5025674","7","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AZ2SI","36855","WHITE","20990.00","DAKI","","IN-STOCK","N"
